"startupname","startupurl","desc"
"Scoutmob","http://www.scoutmob.com/","Inspired goods by independent makers Scoutmob's Shoppe is a curated marketplace for independent and inspired goods. We feature authentic products from microretailers across the country in categories such as home decor, art, jewelry and gifts. Our platform is a discovery shopping experience that takes ..."
"REscour","http://rescour.com/","Market intelligence and analytics for commercial real estate REscour is a data platform and decision engine that utilizes proprietary market analysis based on massive data aggregation to identify commercial real estate investment opportunities. REscour is not one-size-fits-all and communicates custom, tailored recommendations ..."
"BitPay","https://bitpay.com/","Accept bitcoin. BitPay is a Payment Service Provider (PSP) specializing in ecommerce, B2B, and enterprise solutions for virtual currencies. Virtual currencies are designed for the internet, and are a much safer and more efficient form of payment than credit cards, which were ..."
"Sideqik","http://sideqik.com/","The Partnership Platform for Marketers Sideqik helps brands market together to grow their sales. Whether it’s a small business or large enterprise, every marketer is trying to leverage marketing partnerships to grow their business and reach new customers. But the way it’s done today is time consuming ..."
"Kabbage","http://www.kabbage.com/"," Kabbage delivers small businesses financing. Both ecommerce and brick-and-mortar small businesses turn to Kabbage when they need funds fast."
"OpenStudy","http://openstudy.com/","Social Learning for Open Courses OpenStudy is a social learning platform that matches students to the content, classmates, and services they need to achieve their goals. OpenStudy provides real-time study communities for over 40 OpenCourseWare and OER providers, marrying open content with open ..."
"Agency Spotter","http://www.agencyspotter.com/","Organizing the world of marketing services Agency Spotter is organizing the world of marketing services (advertising agencies, digital agencies, design firms, market research). With almost $1 Trillion spent by brands in this space annually, Agency Spotter is helping build a more efficient, informative marketplace ..."
"Usable Health","http://usablehealth.com/","Menu-personalization software to attract regulars SmartMenus are web-based ordering kiosks and tablets that serve as virtual cashiers and virtual dietitians for the restaurant industry."
"SalesLoft","http://salesloft.com/","Quickly build high-quality prospect lists "
"The Home Depot","https://corporate.homedepot.com/wps/portal/?"," "
"TransactionTree","http://www.transactiontree.com/","Driving consumers to their next purchase. TransactionTree transforms delivery of a sales receipt into an opportunity for retailers to increase customer satisfaction, support loyalty programs and enhance relationships while reducing their carbon footprint. Email delivery and online access allows customers ..."
"Turner Broadcasting System","http://www.turner.com/"," "
"EarthLink","http://www.earthlink.net/"," "
"Ionic Security","http://ionicsecurity.com/","The Unified Data and Mobility Security Platform Ionic Security takes a comprehensive approach to securing data in today’s borderless enterprise by providing access control, intellectual property monitoring, data encryption and policy management, without proxies or gateways or changes in user behavior."
"PerfectPost","http://perfectpost.net/","Social Commerce: Optimized PerfectPost equips retailers with a social media management platform optimized to drive revenue through efficient email acquisition, maximum organic audience reach, and deep audience insights to target advertising and content more effectively. Our algorithms ..."
"Seraph Group","http://www.seraphgroup.net/"," "
"Playcoin Entertainment Corp.","http://playcoinentertainment.com/","Launching one of the 1st blockchain powered stock exchanges. We are launching an unregistered securities exchange platform soon after the SEC enacts the rules covered in the article below ( in a few months) .. Focusing on the securities as described in this article http://www.crowdfundinsider.com/2015/03/65007-the-reg-a-bombshell-50m-unaccredited-equity-crowdfunding-title-iv-takes-center-stage/ ..."
"Manhattan Associates","http://www.manh.com/"," "
"SportsCrunch","http://sportscrunch.com/","LinkedIn for Sports.  SportsCrunch.com"
"Affix Music","http://www.affixmusic.com/","Business to business iTunes Affix Music is a music licensing company that connects independent Urban Music Creators (songwriters, artists, producers) with buyers in media (television, film, radio, internet, mobile, video games, etc.). Affix fills a specific, growing need among media buyers ..."
"PlusScrn","http://www.plusscrn.com/","WYSIWYG, HTML5, Rich-Media Mobile Ad Platform. Aquired by Phluant Mobile PlusScrn is a WYSIWYG, HTML5, rich-media ad platform for mobile. The company was acquired by Phluant Mobile (http://www.phluant.com) in Dec. 2011"
"N4MD","http://www.n4md.com/","Gracefully gather, filter and share the best content on the web. We are the tool maker of choice for thoughtful publishers of Social content. Our first tool, the Interest Server, helps Social managers and e-tailers gracefully gather, filter and share the best content on the web. Our customers use the Interest Server (I/S) for ..."
"Soccermetrics Research","http://www.soccermetrics.net/","Enabling soccer's Moneyball revolution Soccermetrics provides the soccer industry with tools and platforms to allow front-office and coaching personnel to make data-informed decisions from match and fitness data."
"Zurly","http://zurly.com/","Make a Donation. Get Rewarded. With the rise of crowdfunding along with the rapid adoption of mobile deals, we have combined both in order to create the ultimate fundraising experience. With Zurly, it’s mobile deals that make a difference. Donors make a donation to a cause or group and get rewarded ..."
"Vitrue","http://www.vitrue.com/"," "
"Digital Assent","http://www.digitalassent.com/","Helping hospitals improve patient satisfaction and grow their online reputation. Digital Assent is a healthcare technology company that helps doctors and hospitals improve patient satisfaction and grow their online reputation. The company’s award-winning PatientPad® technology is transforming the patient experience at doctor’s offices throughout ..."
"Synapp.io","http://synapp.io/","Helping email marketers get and stay in compliance with their Email Service Providers Synapp.io provides deliverability solutions for businesses using email marketing by rehabilitating suspended accounts and bringing them into compliance with email service provider’s anti-spam standards."
"Rimidi","http://www.rimidi.com/","Data analytics software for diabetes Rimidi's flagship product, Diabetes+Me, is a cloud-based application that empowers individuals with diabetes, their health care providers and their care team to identify and close gaps in diabetes management, meet glucose targets and create a more efficient cycle ..."
"Evgentech","http://www.evgentech.com/","Damage free battery fast charging Evgentech’s product comprises a patent pending technology that can be implemented in any Li-ion battery powered device to provide dramatically faster and less damaging charging than possible today. In particular, our technology provides complete charging conventional ..."
"ZPM Espresso","http://www.zpmespresso.com/","Bringing high-tech espresso to home baristas everywhere. Coffee connects people. Rapid growth in independent coffee shops and small coffee roasters who pride themselves on hand-selected beans and artisanal roasts has triggered a boom in consumers who want a gourmet coffee experience. But currently, coffee enthusiasts ..."
"Verdeeco","http://www.verdeeco.com/","Energy Data Analytics & Applications Platform The deployment of smart devices across the nation's electric grid is generating massive new data sets that many in the utility industry have referred to as a ""data tsunami"". Verdeeco lets utilities realize that potential; capturing, storing, and transforming ..."
"Partpic","http://www.partpic.com/","Visual search for replacement parts  We simplify the process of searching, identifying, and purchasing replacement parts. To start, a user simply snaps a picture of the part they are looking to replace. Using visual recognition algorithms, Partpic matches the user-generated image to a part in our ..."
"Monsieur","http://monsieur.co/","Artificially Intelligent Robotic Bartender Monsieur is a cocktail ordering, preparation and service system that enables users to enjoy bartender quality cocktails in seconds and tabulates detailed data on the businesses alcoholic beverage operations. With Monsieur, venue owners now have a robotic workforce ..."
"Storyful","http://www.storyful.com/","The 1st news agency for the social media age Storyful solves the biggest problem facing the news industry: how to turn social media content into trusted news. Storyful offers a fully-integrated operating system for news producers and consumers who want to discover and use the most valuable news content on ..."
"Springbot","http://www.springbot.com/","Increase Online Revenue with Smarter Marketing Springbot’s SaaS ecommerce marketing platform integrates with online shopping carts and delivers “big data” analytics and an integrated marketing dashboard to simplify, prioritize and automate online marketing actions. Springbot is a Gold Industry Partner of Magento, ..."
"synkup","http://www.synkup.com/","scheduling data to facilitate mobile commerce. synkup uses scheduling data to facilitate mobile commerce."
"Zamp","https://zamp.co/","Connecting Travelers with the world around them in real-time Zamp is a social travel service that allows users to discover and connect with each other in real-time while traveling. Travelers can also share and receive tips and receive expert curated tips frequent travelers, and give service providers immediate, valuable ..."
"Cox Communications","https://ww2.cox.com/"," TV, Phone, Internet, Home Security and Tech Solutions services from Cox Communications. Cox helps you bring your digital life to life."
"Fold","https://foldapp.com/","Spend bitcoin in the real world. We build apps for spending bitcoin.  Our first is Fold, a mobile payment app for spending bitcoin at major retail stores like Starbucks, Target, Walmart, & Whole Foods. Try it now at Starbucks by visiting https://coffee.foldapp.com.   We tested the market with ..."
"PodPonics","http://podponics.com/"," "
"TOHL","http://thetohl.com/","We engineer and implement solutions to water access problems. We are a global water company, driven to improve the quality and quantity of water of the more than 700 million people without access to reliable water sources worldwide. We offer a variety of services ranging from water consulting and feasibility studies to the ..."
"Lucena Research","http://www.lucenaresearch.com/","Quantitative analyst in a box. Lucena provides investors with unique tools for finding investment opportunities, and to reduce risk in their portfolio. Our SaaS web-based interface provides access to patent-pending powerful algorithms including: Equity price prediction; Hedge finding to reduce ..."
"Calendly","https://calendly.com/","Simple, beautiful scheduling Calendly is an extremely easy to use web and mobile SaaS offering that helps our customers and their customers say goodbye to time-wasting email and phone tag for finding the perfect meeting time. Without Calendly, it can take up to 7 emails over 2-3 days for ..."
"Shot Stats","http://www.shot-stats.com/","Instant Data Platfrom for Tennis and Beyond Shot Stats is a sports technology company creating groundbreaking hardware and software platforms that will revolutionize the way we learn, play and share the game of tennis. Statistics and data have always been a crucial component of sports — both the way they’re ..."
"Clinigence","http://www.clinigence.com/","Clinical Business Intelligence The race towards accountable care is on. Healthcare providers who get there first will be the winners of healthcare transformation. Those falling behind risk losing their business. The Clinigence collaborative clinical business and process intelligence SaaS platform ..."
"Cooleaf","http://www.cooleaf.com/","Employee engagement software for awesome workplaces. Cooleaf powers top workplaces with a technology platform (web & mobile) that enables employees to initiate and join activities around like-minded interests and passions inside and outside of the workplace."
"HUGECITY","http://www.hugecity.us/","Redefining event discovery We are live at www.hugecity.us and on iPhone at https://itunes.apple.com/us/app/hugecity/id643054922 All event websites before Hugecity have run into the same three problems data, scalability, and curation. Hugecity has solved these problems by using the biggest ..."
"CBeyond","http://www.cbeyond.net/"," Cbeyond is the Technology Ally for business. We deliver the latest technology for cloud, network, voice and mobile - all from one source"
"Iterative","http://www.it-erative.com/","Making Money in 21st century Brick and Mortar Stores No more reports. We turn insights into actions. Where all retail analytics companies provide dashboards with information about what happened, we provide the store manager with actions to control what will happen. We get the full picture from all the data out there ..."
"PcTechmate","http://www.pctechmate.com/","Automated Computer Technician PcTechmate is a computer repair solution to help IT Pros save hours of time repairing malware ridden computers by completely automating the process. PcTechmate repairs what is compromised on computers when a virus bypasses the installed antivirus software. Pctechmate ..."
"AdProof","http://adproof.com/","User Testing for Google AdWords AdProof is a startup based in Atlanta, Georgia. The company was founded by search advertising executive, Jonathan Nelson. Jonathan has served Fortune 500 companies for the past ten years as a Global eCommerce and Digital Marketing Executive. He has launched multi-million ..."
"Silverpop","http://www.silverpop.com/"," "
"ThundrLizard","http://www.thundrlizard.com/","google alerts for cold leads The fastest, smartest way to go from cold lead to qualified prospect. ThundrLizard provides sales people having to work with cold leads a web-based call down list that uses real-time intelligence to speed time from cold lead to qualified prospect for $49 per user. ..."
"Off-Market RADAR","http://www.offmarketradar.com/","LinkedIn, Jigsaw and eBay on a foundation of CRE Off-Market RADAR is LinkedIn, Jigsaw and eBay with a CRE foundation. We built Off-Market RADAR to give principals direct access to the information they desperately want but and took them 2 hours to find, but now it takes 2 minutes. Before Off-Market RADAR, we ..."
"TrypleD","http://www.trypled.com/","Travel Deal Syndication Network TrypleD powers the largest discount deal travel network in the US. We acquire deeply discounted travel deals to push to our network of over 800 websites. In all we have access to over 10 million email subscribers & 30% of the discount deal market."
"5 O'Clock Brewing Company","https://www.youtube.com/watch?v=OWfUqoHgbjI&feature=youtu.be","Where All Day Long It Is 5 O'Clock!!! 5 O’clock Brewing Co. will be a locally owned corporation whose principle partners has over 50 years combined experience within the hospitality and craft brewing fields. With the use of the revolutionary Jobs Act and the local Invest Georgia Exemption, we have ..."
"Cloud Sherpas","http://www.cloudsherpas.com/"," Cloud Sherpas provides cloud advisory and technology services to improve customer experience for the world’s leading brands. With more than 900 people serving enterprise clients and thousands of other businesses around the world, our global team provides cloud ..."
"Mr. Arlo","http://www.mrarlo.com/","A new way to plan and book travel online. Mr. Arlo is the best way to discover, collect and organize travel plans that fit your personality and budget. Using beautiful photos, sophisticated technology and intelligent recommendations, Mr. Arlo simplifies discovery, planning, collection and collaboration ..."
"CoinX, Inc.","http://www.coinx.com/","Virtual Currency Exchange CoinX is a US-based platform which facilitates the purchase, sale, and trading of virtual currencies. CoinX features enterprise-level security, user interface, and compliance for a seamless trading experience."
"Frozen Pints Ice Cream","http://www.frozenpints.com/","Alcoholic Ice Cream Frozen Pints has created a new category at retail: alcoholic ice cream. The combination has a growing presence at restaurants, at scoop shops, and in home recipes, but no-one has captured the space in the retail market. We launched at retail in July, 2012, with ..."
"Brilliance Labs","http://www.brilliancelabs.com/","Business framework for successful startups We build start ups. We provide the business framework necessary for great ideas to reach their maximum potential by reducing risk and maximizing cooperation! We love incubators but we are NOT one. We innovate, invest, and support our start up founders, investor ..."
"Pretty in My Pocket","http://www.prettyinmypocket.com/","Mobile tech that drives retail sales PRIMP's technology (1) gives the brands valuable product insight they have never been able to obtain, allowing them to learn, faster than ever, what the consumers want; (2) provides retailers with instantaneous marketing and promotion capabilities to help them ..."
"HIT Consultant Media","http://www.hitconsultant.net/","Insightful digital media coverage of healthcare technology HIT Consultant is an award winning healthcare technology editorial news site that provides deep insights and analysis of healthcare technology trends and innovation. We utilize a combination of content from our talented editorial team, quality content curation ..."
"Uruut","http://www.uruut.com/","Advanced Online Fundraising for Nonprofits Uruut’s advanced online fundraising and donor relationship platform is the most easy to use, yet comprehensive, out-of-the-box solution on the market, and is transforming the way nonprofits operate and raise funds. Key components include: •	State of the art technology ..."
"PeachDish","http://www.peachdish.com/","Fresh Dinner Ingredient Box Subscription (with Amazon Technology) PeachDish is an Atlanta based ecommerce startup focusing on the delivery of fresh ingredients and instructions to consumer’s homes so they can cook wholesome dinners with ease. A PeachDish box contains all of the fresh, preportioned ingredients and accompanying ..."
"Competitive Sports Analysis","http://www.competitivesportsanalysis.com/","CSA provides highly accurate, predictive data for sports The scoutPRO®'s patented software technology incorporates objective (statistical) data and subjective (expert analysis) to provide a skill rating for each player. Ratings incorporate factors including the opponent, weather, and injuries. Essentially, scoutPRO ..."
"Gotcha Ride","http://www.thegotcharide.com/","On-Campus, Collegiate Advertising, 100% Electric Proprietary Vehicles Gotcha Ride is the first eco-friendly, collegiate transportation & marketing platform that is disrupting the on-campus advertising space by providing a much needed, free service to the 18-34 demographic. Gotcha Ride gives brands the opportunity to truly engage ..."
"Centers for Disease Control and Prevention","http://www.cdc.gov/"," CDC works 24/7 to protect America from health, safety and security threats, both foreign and in the U.S. Whether diseases start at home or abroad, are chronic or acute, curable or preventable, human error or deliberate attack, CDC fights disease and supports communities ..."
"PoliticalTracker.com","http://politicaltracker.com/","Accountability For All Political Tracker targets “Accountability For All” by providing a space that balances free access to relevant, reliable, unbiased political information with features geared towards creating interactive user participation and social, educational and entertaining ..."
"Newell Rubbermaid","https://atlanta.startups-list.com/"," "
"LoopFuse","http://www.loopfuse.com/","SaaS marketing automation for SMBs We tell you who is visiting your website, help you capture their information, send lead nurturing emails, score the best opportunities, and integrate it all into your CRM system with advanced reporting. Once in place, you’ll see more qualified leads, shortened ..."
"LendLift","http://www.lendlift.com/","Marketplace Lending  LendLift is an online lending marketplace that connects responsible non-prime credit card borrowers with accredited investors who can lend to them at lower interest rates, giving underserved borrowers the ability to pay down their principal and eliminate their ..."
"GoRankem","http://gorankem.com/","cliffsnotes for the catalogs GoRankem is the cheat sheet for music discovery. The CliffsNotes-like resource lets music fans know each artist’s best material & help uncover all of the hidden gems. Who knows each artist better than their own fans? That's why we make it easy for the fans ..."
"Artmatch Me","http://www.artmatch.me/","Connecting the World With Art Artmatch Me is a social commerce platform designed to connect artists and collectors. Through our subscription-based membership we provide a curated, educational, social environment in which to help market artists, educate the masses about art and make art more ..."
"Regator","http://regator.com/","Real-Time Semantic API & Curated Content Aggregation Regator launched in August 2008 as an editorially curated blog search and discovery engine that makes it easy for people to find quality blog content. Our business is built upon a real-time semantic API, which uses a unique combination of linguistics and algorithms ..."
"Kanga","http://getkanga.com/","Everything from A to Z and picked up from A and delivered to B. Kanga is a revolutionary new method for shipping and moving things around town. The solution is simple: We connect people who needs things delivered, shipped, or moved with people who want to earn money by helping people get things moving. Kanga can get that ..."
"Voxa","http://voxa.com/","Go faster, smarter. Get messaging intelligence. Voxa is a messaging intelligence platform that accelerates response time and unleashes the power of business email. Go faster, smarter. More at http://voxa.com"
"Qnova Health","http://www.qnovahealth.com/","New payer model in the US Healthcare System  Qnova sells access passes or Q-passes to the US health system. Subscribers are persons that are currently uninsured, under insured, or are paying cash out of pocket toward high deductible health plans. Q-passes help our users get the healthcare they need without ..."
"Techturized","http://www.myavana.com/","Beauty tech startup creating a mobile application for hair care Techturized, Inc. is a beauty technology startup creating innovative solutions to solve the hair needs of women of color. Our first product is Myavana, a mobile app where consumers share hairstyle tips and techniques through photo sharing. We connect the consumer ..."
"cMEcompete","http://www.cmecompete.com/","Gamification Platform for Community Fitness Events (Meetup, Active.com, gamification) cMEcompete®, is a technology platform that employs gamification to elevate a participants experience with fitness challenges and events where individuals and families discover LIKE-MINDED communities, such as running, cycling and triathlons, where they can enroll, ..."
"CoffeeCup Software","https://atlanta.startups-list.com/"," "
"MetroTech Net","http://www.metrotech-net.com/","The next generation of traffic data MetroTech aggregates real-time traffic data from any video stream, applies analytics, and publishes actionable information. Delivered from the cloud, traffic Big Data is analyzed & published via API’s to mobile or web applications & Connected Cars, & to multiple ..."
"Niche Video Media","http://nichevid.com/","Secure YouTube for the enterprise The Private Media Channel by Niche Video Media, LLC, provides a secure lowcost cloud-based digital asset management platform and content delivery network serving multi-media files to any device, anywhere, anytime. What is a Private Media Channel? The customer has ..."
"CourseShark","http://courseshark.com/","Scheduling and jobs for students CourseShark helps students register for classes and organize their schedules while allowing employers to find top university talent."
"Eyewonder","http://www.eyewonder.com/"," "
"PrepSportsNet","http://www.prepsportsnet.com/","Official network HS sites, content by students, revenue shared with school, free to HS Allows any HS, for free, to create their own free sports/extracurricular site where all content is created by students.Each school shares in gross revenue generated from ads, sponsorships, e-commerce, content syndication et al, to help fund programs at each school. ..."
"Metago - ASTRO File Manager","http://www.metago.net/","Global Content Management & Federated Search ASTRO File Manager is Android's #1 global content and file management solution with over 100 Million installs worldwide in over 100 countries. ASTRO helps users find, connect to and organize their pictures, documents, music and videos regardless of where the content ..."
"Pickoff Sports","http://www.pickoffsports.com/","Social games for sports fans. Pickoff Sports develops web and mobile applications for sports fans to interact, compete and have fun with their friends. The company's first game, Pickoff, has launched in Alpha on Facebook: http://apps.facebook.com/pickoffgame From the team that brought you ..."
"Pardot","http://www.pardot.com/"," Make sales and marketing teams best friends with no-hassle marketing automation. Gain greater insight into ROI, increase marketing accountability, and more."
"Sub-Micro","http://www.sub-micro.com/","Novel Targeted Cancer Therapy The morbidity of most cancers is related to the metastatic dissemination of cells sloughing off the primary tumor. Sub-Micro is developing a novel therapeutic device to aid in the removal of residual tumor cells, which will limit metastatic spread and significantly ..."
"Bastille Networks","http://www.bastillenetworks.com/","Security for the Internet of Things Bastille Networks is pioneering Internet of Things security with safe and socially responsibly radio frequency (RF) emission detection, allowing corporations to accurately quantify risk and mitigate 21st century airborne threats."
"Egos Ventures","http://egosventures.com/","Computer Vision Innovation Lab Egos Ventures develops several innovative mobile applications and technologies: - Computer Vision, - Computer Graphics, - 3D Scanning Technology using smartphones, - Automotive 3D animations, - Photo Stitching, - Smartphone's Motion Sensors, CYCLORAMIC Cycloramic ..."
"BitByCoin","http://bitbycoin.com/","Marketplace For Cryptocoins Buying and selling is really what a currency needs, not for people to sit on it. Introducing BitByCoin. BitByCoin lets Cryptocoins users buy & sell directly to their audience. You'll see writers, designers, game developers, musicians, artists, fashion, electronics ..."
"Engiver","http://engiver.com/","""Kickstarter for People in Need"" $300B is donated to U.S. charities annually. That could be increased to $600B or more. Engiver is a charitable giving platform that identifies and promotes ""appeals"" for individuals with a life enhancement opportunity but financial need to access the opportunity. ..."
"StatMilk (Acquired by Bleacher Report)","http://www.statmilk.com/","Sports Analytics For Fans StatMilk is a sports technology, content and analytics company that delivers a powerful and engaging way for fans to interact with sports statistics. The company’s core platform combines easy-to-use data discovery tools with compelling visualizations to deliver ..."
"NicheTrainings","http://www.nichetrainings.com/","Speeding Up Your Learning Curve NicheTrainings provides an easy to use eLearning platform that enables anyone to share their skills by uploading their content in a few easy steps. NicheTrainings does not charge authors a hosting fee. The author can make his/her course freely available or for ..."
"Sensiotec","http://www.sensiotec.com/","Star Trek Tricorder-style Noncontact Cardiorespiratory Monitoring System The Virtual Medical Assistant® is a truly remote, totally noncontact, wireless, continuous cardiorespiratory monitor. It measures heart and respiration rates and movement, providing critical “spot” and “trend” data to a nurse’s station, tablet, cell phone or pager ..."
"FLIPSFilm","http://www.flipsfilm.com/","Easy Film Permitting www.flipsfilm.com We streamline the government hassles for film/TV and event permits/approvals for the $60.5 billion film/TV industry and $1.9 trillion leisure/tourism market. Our one stop shop SAAS eliminates errors while making community event planning easier, ..."
"Predikto","http://www.predikto.com/","We predict equipment failures for asset intensive industries Predikto solutions harness the power of Predictive Analytics to address operations challenges in asset intensive industries like Manufacturing and Railroads."
"Dunvegan Space Systems","http://dunveganspace.com/","Physical, virtual & financial space infrastructure enabling space settlement. The long term mission of DSS is constructing a billion-dollar brand by building physical, virtual and financial space infrastructure to support space settlement. DSS offers turnkey satellite, satellite constellation and space drone packages -- spacecraft, launch, ..."
"Rately","http://rately.com/","Google Now for Retailers Merchandise smarter. Personalize every experience using a shopper-managed profile Rately lets merchants use a shopper-managed profile for personalization and in-browser notifications to drive engagement, loyalty, and sales"
"Vocalocity","http://www.vocalocity.com/"," "
"Volantio","http://www.volantio.com/","Intelligently connecting travel supply and demand Volantio helps travel suppliers (e.g. airlines, hotels, cruise lines) better connect their inventory with customers who want to purchase it. We do this in two ways.  First, we have built a proprietary platform that dynamically matches explicit customer intent ..."
"i-nexus","http://www.i-nexus.com/","Business Execution Software as a Service i-nexus is the first company to offer a fully integrated Business Execution platform on a SaaS basis. Business Execution software helps large organisations align, execute and track the many hundreds, if not thousands, of initiatives that collectively realise ..."
"Zobee","http://zobee.co/","Game Changing Fantasy Sports The patent pending Zobee Gaming Engine and API power FantasyCoach.com; game changing fantasy sports software that empowers fantasy players to make in-game roster substitutions during live match ups. Fantasy Coach launched in July 2014, carving out a niche in the ..."
"So.Tech Leaders","http://www.sotechleaders.com/","Connecting Tech Leaders, Innovators & Investors Created with the over-arching goal to showcase the South’s vibrant technology sector, connect its people, and deliver the resources necessary to establish the South as the leader in technology innovation and growth in the U.S."
"SonarContacts","http://www.sonarcontacts.com/","Foursquare for the business professional Meeting your virtual connections and contacts in the real world."
"Unmanned United","http://www.unmannedunited.com/","UAV Support You Deserve One of our many expertise is with the Ardupilot flight control system. We plan to provide full support for the system as well as ground station monitoring systems. Our company is a huge fan of the Ardupilot and have been using the hardware and software since version ..."
"SafelyStay","http://www.safelystay.com/","Trusted vacation home rentals SafelyStay creates instant worry free vacation home rentals.  All guests, hosts and properties are pre-screened, deposit and reservation down payments are escrowed and all rental participants are covered by our industry leading damage and liability insurance.  We ..."
"Write2Market","http://www.write2market.com/","Building valuation through getting tech companies the reputations they deserve. We create industry leading reputations for fast scaling companies. See a QUICK overview of our Triple A Industry Leadership in action: http://video.write2market.com/medias/709dhodz8s"
"Tidbit.co","http://tidbit.co/","Smarter File Gathering & Sharing ==== PLEASE NOTE: Tidbit.co has merged with WellCause.com ==== Web agencies, legal firms and freelancers spend a significant amount of their day gathering and sharing client documents with various stakeholders. Furthermore, the process is made worse by cloud storage ..."
"Automotive Ventures","http://www.automotive.ventures/","Instilling trust and confidence in the car shopping/buying process. We're focused on building consumer-facing decision support tools that help consumers shop and buy vehicles, instilling trust and confidence throughout the process. The first of these tools is available at www.CarLingo.com."
"Shotput Ventures","http://www.shotputventures.com/"," "
"YellowBird","http://www.yellowbird.io/","Gamifying stock market education. YellowBird is a mobile-first platform. Our solution is to target our market while they are on the go. No longer will users be chained to a desktop or a seminar in order to learn about investing. YellowBird is built around merging fantasy sports with a stock simulator. ..."
"Rivalry","http://rivalry.com/","Sales coaching platform Simply put, we're the simplest, easiest way to make sales coaching and a culture of improvement a reality. At Rivalry, we believe selling is still about people. Hard work, relationship building, problem solving, consultative selling, the drive to do and be move. ..."
"FactPipe","http://www.factpipe.com/","FICO score for online Credibility Have you ever wondered how credible/reliable content online is? FactPipe will allow users to vote on credibility of all content on the web. Every piece of content and individual who is rated (ie blooger) and rates (the user) credibility will have a score. FactPipe ..."
"Home Elephant","http://www.homeelephant.com/","Neighborhood Social Network Home Elephant is a niche social media platform for neighborhoods, developed for iPhone, Android, and web. With Home Elephant, neighbors can meet each other and nearby non-neighbors, share alerts, chats, and events for free. Signup takes less than 60 seconds. Users ..."
